province,year,population,province_norm,atur_annual_mean_pct,n_quarters
Badajoz,2014,688697,badajoz,31.27,4
Illes Balears,2014,1106617,illes balears,20.14,4
Barcelona,2014,5459762,barcelona,19.975,4
Bizkaia,2014,1143121,bizkaia,17.315,4
Burgos,2014,365542,burgos,18.225,4
Caceres,2014,408011,caceres,27.315,4
Cadiz,2014,1245504,cadiz,42.3075,4
Cantabria,2014,587491,cantabria,19.4175,4
Castello,2014,580349,castello,27.0825,4
Ciudad Real,2014,518032,ciudad real,33.0325,4
Cordoba,2014,796830,cordoba,33.64,4
A Coruna,2014,1132596,a coruna,19.955,4
Cuenca,2014,208031,cuenca,28.0025,4
Gipuzkoa,2014,708675,gipuzkoa,14.26,4
Girona,2014,745189,girona,22.53,4
Granada,2014,919381,granada,35.915,4
Guadalajara,2014,255075,guadalajara,23.265,4
Huelva,2014,520453,huelva,31.9525,4
Huesca,2014,223702,huesca,17.205,4
Jaen,2014,656162,jaen,33.2825,4
