province_norm,year,votes_per100k_used,denuncies_per100k,ordres_per100k,feminicidis_per100k,atur_annual_mean_pct,immigracio_per100k
cuenca,2011,83.6502955489724,2805.288917029074,693.2344934997712,0.0,19.5325,691.3858681837719
cuenca,2012,84.28326627924304,2291.014751899866,1150.16390999851,0.4656534048576963,23.3775,423.7445984205036
cuenca,2013,85.63750260224455,1991.8999224057984,1168.6443725278675,0.4731353734930639,28.87,291.45139007172736
cuenca,2014,87.00626348957607,1735.3182939081194,754.6952136941129,0.0,28.0025,408.5929500891694
cuenca,2015,88.00762408588766,2124.824957211763,933.5615372646646,0.4862299673253462,22.615,404.0571028473626
cuenca,2016,89.71527723006547,1818.952598785393,626.0351762757316,0.0,18.015,557.0234245602966
cuenca,2017,90.759034762705,1760.3263335843335,563.5038971530586,0.0,15.9025,642.2947075514509
cuenca,2018,91.493148068087,2086.244859794291,834.4979439177166,0.0,15.4,902.8664501663968
cuenca,2019,2462.338766401676,2955.211343153676,956.3954518082958,0.0,13.065,1118.3248404742508
cuenca,2020,2463.33598262604,2131.246298161864,784.6631264016362,0.0,15.6525,744.1643843938098
cuenca,2021,2476.209862093532,2178.0062083354537,793.8527301409598,0.0,12.1075,882.9067223042084
cuenca,2022,2474.572823433686,2624.084621643613,930.6346623270952,1.017087062652563,9.6075,2585.943856794141
cuenca,2023,2508.6173879739563,2313.08835090407,745.8324094418351,0.0,11.4075,2489.9715777379106
cuenca,2024,2501.193317422434,3175.48046727798,1100.3642758447431,0.5024494410249969,10.495,
gipuzkoa,2000,53.193218455682654,,,,,
gipuzkoa,2003,53.193218455682654,633.8858532635518,0.0,0.0,6.44,2198.3575116212405
gipuzkoa,2004,263.38597135512305,1726.0374586852736,860.8152772677194,0.0,6.7975,2678.2225486595667
gipuzkoa,2005,262.0314525427865,1353.2689629370905,574.3355317864758,0.0,5.695,3147.300257647212
gipuzkoa,2006,260.4503335885059,1950.8354601749213,474.9986563493666,0.1452595279355861,5.7575,3673.613461490973
gipuzkoa,2007,258.5663627226043,1496.887253240732,474.4469232333341,0.0,5.0925,4187.823298083898
gipuzkoa,2008,255.50544897183005,1434.0904606533047,444.6681288765481,0.1429801057480862,5.335,858.0236145942654
gipuzkoa,2009,253.7728654748194,1522.3531717347869,462.9544160312878,0.1420105570648122,9.2825,563.9239221043692
gipuzkoa,2010,253.12439357089536,1451.8886592622705,434.8583594083093,0.0,8.030000000000001,549.876270756696
gipuzkoa,2011,521.3090555356038,1641.5508909054404,480.729804399526,0.141391118941037,10.1775,561.6055244337992
gipuzkoa,2012,520.4532333174765,1376.3002508395432,381.1293002324889,0.141159000086107,12.97,454.1085032770062
gipuzkoa,2013,519.9966715699894,1359.579038224762,377.9742554400791,0.0,14.115,428.3238111087762
gipuzkoa,2014,520.266694888348,1529.6151268211804,400.7478745546266,0.0,14.26,454.7923942568879
gipuzkoa,2015,519.4669792579526,1606.1631579985517,419.8566851610249,0.0,12.67,515.3811256104125
gipuzkoa,2016,166.8866984131001,1837.5814222908327,409.1325125375917,0.0,10.2575,612.7146012504552
gipuzkoa,2017,166.4493149916565,1866.4198673453648,394.0375527603662,0.0,9.015,788.9164668433526
gipuzkoa,2018,165.84025964409312,2028.644119656472,398.18427968463806,0.0,7.6975,954.105419637331
gipuzkoa,2019,5249.071375864527,2356.822347567373,294.60279344592163,0.0,7.22,1148.672967275466
gipuzkoa,2020,5214.76585117354,1985.2363577125327,240.2163603908072,0.0,7.585,675.5049720644939
gipuzkoa,2021,5206.420880265965,1991.7078791688032,330.80269273391883,0.0,8.615,584.6937594072016
gipuzkoa,2022,5222.740414329387,2165.253352616901,384.3808633636644,0.0,7.87,1772.0234334060156
gipuzkoa,2023,6752.881471614615,2336.551481191999,305.4855293431236,0.1376060942987043,7.465,1686.913110007816
gipuzkoa,2024,6725.026791024528,2537.9528094260554,428.9304694116389,0.1370384886299166,6.3575,
girona,2000,46.03034630669699,,,,,
girona,2003,46.03034630669699,2011.5092726699447,0.0,0.3372186542615164,10.39,11726.778701944231
girona,2004,93.32175302567885,2869.199131153454,1476.6509620874313,0.0,8.6875,12798.66600031377
girona,2005,89.43517887035775,1830.553661107322,1001.3020026040052,0.31000062000124,7.3225,15556.916113832229
girona,2006,86.25960703292367,3592.406164646717,1101.7908212004288,0.2989934385889902,6.3775,17384.076506441066
girona,2007,83.1146232761278,2713.82929379939,1050.0963668682352,0.2880922817196805,7.9625,18608.31261469674
girona,2008,99.61833811047494,3135.824115974085,1419.943396776923,0.2778754201129008,10.96,2172.7079098627714
girona,2009,97.4375421278076,2867.4088408601683,1281.5007284033832,0.0,18.005,1388.586897436455
girona,2010,96.65143878540012,2931.8951095989573,1108.0541517656748,0.5391991006159002,17.857499999999998,1246.897920174269
girona,2011,352.86117402641906,2797.723269025857,1129.7982961999153,0.4015870721089746,21.7025,1289.763813256657
girona,2012,350.71893389959274,2840.610485112407,1113.6257499012106,0.2660993428676728,24.2075,971.9278498241748
girona,2013,351.45635728018647,2510.5930226046703,1095.9678516096862,0.0,22.985,890.2405529437804
girona,2014,353.7357636787446,2407.4429440048098,1040.0046162785547,0.1341941440359425,22.53,908.3601609792952
girona,2015,354.57224678551205,2667.36253936142,877.0148137486867,0.0,19.7225,1006.0113177954644
girona,2016,97.07735482979952,2747.396409478719,717.3533816842921,0.0,16.14,1179.6775798240003
girona,2017,96.4731340976564,2839.5614469904112,659.5884168278994,0.0,13.9625,1452.9600196144272
girona,2018,95.70111642490238,2856.4932678758846,609.3676059651933,0.2643677249306695,11.3975,1821.6258086347789
girona,2019,1399.7826189194698,3391.3538765421777,715.894423861754,0.1306376685879113,10.3325,2015.086037968532
girona,2020,1379.5580779144532,3060.3915550188103,628.3008324986031,0.257500341187952,12.6025,1236.130387872764
girona,2021,1365.0707505404866,3350.570297640205,614.0588910504101,0.2547962203528673,12.975,1308.8881839526791
girona,2022,1355.5878304522084,3432.30031172827,733.7759604874296,0.2530261932715275,8.9575,3844.606493664224
girona,2023,2807.8133037869493,3681.344228562384,793.8941870127815,0.2473190613746982,9.9575,3373.308337620197
girona,2024,2765.2878793045497,3609.756572825986,678.3516906424003,0.3653599770066787,9.4675,
granada,2000,45.46985517009095,,,,,
granada,2003,45.46985517009095,2665.640186691045,0.0,0.1202906221430977,17.8375,2780.2771495934176
granada,2004,135.85505629975913,3376.79904130231,849.5390420142144,0.4746028167677175,13.3775,3188.856325862294
granada,2005,133.6946787182592,2640.032040017328,739.1155600756164,0.1167639115443311,13.1175,4240.63173946702
granada,2006,131.36805197815045,3844.666743919495,652.8246425813765,0.5736596156251111,10.985,4962.614602849711
granada,2007,129.37385314881269,4519.610590351535,785.2823400735792,0.0,11.8825,5522.286199821024
granada,2008,123.85310910181502,4638.659942683225,836.4250327683113,0.2221580432319552,19.3275,776.9977562037633
granada,2009,122.6471545860136,4276.700780541892,608.2858877674038,0.21999489611841,26.2225,531.8376613662563
granada,2010,121.8157206738212,4023.742594095816,444.6546934013025,0.2185035348409348,28.735,449.57102293522354
granada,2011,121.2108035243536,3638.498290547188,422.8789468248748,0.32612772248705,29.1225,402.6590280306778
granada,2012,120.87244975391889,3736.747392840882,409.77386553346486,0.1084057845326626,35.5875,327.3854692886412
granada,2013,120.9971904777924,3573.486531330676,361.3638065390571,0.1085176596213384,37.035,329.3510969507623
granada,2014,121.27725067191948,3749.2617315345865,451.39066393584375,0.2175376693666717,35.915,341.8604474097246
granada,2015,121.51979301310232,3799.264560032957,872.9807551882957,0.2179727228934571,30.942500000000003,403.3585237143424
granada,2016,108.4409188101858,4240.443985296591,1122.6310628083686,0.109205356304316,29.9375,490.76887123159617
granada,2017,108.55068978333588,4462.275082533505,1119.3948271715603,0.2186318021819453,25.7725,630.9713810970944
granada,2018,108.50798784885372,3884.651528727845,1142.9945145005136,0.5463644906790218,23.9975,808.4009004086807
granada,2019,8061.478123067493,4125.953370073914,967.412275774666,0.1090656455213828,22.21,992.0611116624984
granada,2020,8016.998457643775,4317.946648791822,1274.4504678046696,0.2169277392007948,23.775,764.7787445524021
granada,2021,7990.305346977339,5351.08524332844,1502.6279774195011,0.1081027321884533,22.63,812.7163405927921
granada,2022,7981.909658441133,5750.4219675838185,1271.0322358396534,0.215978289862303,20.9575,1895.6414501214333
granada,2023,8680.273041050368,6225.430159559434,1156.2277854383815,0.2141162565626632,20.5075,1860.027920759856
granada,2024,8627.9091792313,5470.656276569821,1041.776404349709,0.1064122987078354,21.435,
guadalajara,2000,336.0905813061851,,,,,
guadalajara,2003,336.0905813061851,2137.275055879138,0.0,0.0,8.747499999999999,5779.344025146971
guadalajara,2004,548.3097665411957,2961.597605869348,1025.1684020316975,0.517761819207928,8.065,6991.855606583859
guadalajara,2005,522.8984076039995,2819.405011726948,1199.851870139489,0.0,6.9775,8550.055548697692
guadalajara,2006,496.7959243031252,2265.8397680680782,628.6180723004607,0.0,6.6625,9597.684433727703
guadalajara,2007,470.5453705267087,2652.6495392298875,1070.8350736254654,0.0,5.0025,11395.729100942868
