province_norm,year,votes,province_votes,province_pop,population,votes_per100k
santa cruz de tenerife,2023,0,Santa Cruz de Tenerife,Santa Cruz de Tenerife,1067173.0,0.0
segovia,2000,255,Segovia,,,
segovia,2004,301,Segovia,Segovia,151733.0,198.3747767459946
segovia,2008,274,Segovia,Segovia,163091.0,168.0043656608887
segovia,2011,233,Segovia,Segovia,163423.0,142.57479057415418
segovia,2016,261,Segovia,Segovia,155991.0,167.31734523145568
segovia,2019,14719,Segovia,Segovia,153571.0,9584.491863698224
segovia,2023,15145,Segovia,Segovia,155332.0,9750.083691705508
sevilla,2000,1460,Sevilla,,,
sevilla,2004,2239,Sevilla,Sevilla,1764493.0,126.89197406847178
sevilla,2008,1534,Sevilla,Sevilla,1859555.0,82.49285447324763
sevilla,2011,1160,Sevilla,Sevilla,1918747.0,60.45612058285955
sevilla,2016,3001,Sevilla,Sevilla,1935590.0,155.04316513311187
sevilla,2019,136949,Sevilla,Sevilla,1941191.0,7054.895680023244
sevilla,2023,141768,Sevilla,Sevilla,1959394.0,7235.298260584651
soria,2000,395,Soria,,,
soria,2004,680,Soria,Soria,91778.0,740.9183028612522
soria,2008,750,Soria,Soria,94470.0,793.9028262940616
soria,2011,0,Soria,Soria,94898.0,0.0
soria,2016,647,Soria,Soria,90460.0,715.233252266195
soria,2019,24382,Soria,Soria,89008.0,27393.04332194859
soria,2023,25858,Soria,Soria,89528.0,28882.584219462064
tarragona,2000,314,Tarragona,,,
tarragona,2004,661,Tarragona,Tarragona,661094.0,99.9857811445876
tarragona,2008,842,Tarragona,Tarragona,780209.0,107.91980097640504
tarragona,2011,3097,Tarragona,Tarragona,803859.0,385.26657038112404
tarragona,2016,0,Tarragona,Tarragona,792163.0,0.0
tarragona,2019,20105,Tarragona,Tarragona,803528.0,2502.090779661692
tarragona,2023,38039,Tarragona,Tarragona,848592.0,4482.601768576655
teruel,2000,113,Teruel,,,
teruel,2004,160,Teruel,Teruel,138393.0,115.61278388357793
teruel,2008,174,Teruel,Teruel,145704.0,119.42019436666118
teruel,2011,0,Teruel,Teruel,144357.0,0.0
teruel,2016,160,Teruel,Teruel,136377.0,117.32183579342558
teruel,2019,8336,Teruel,Teruel,134025.0,6219.735124044021
