Provincia;Any - Trimestre;Percentatge
Badajoz;2011T1;27,31
Badajoz;2010T4;26,1
Badajoz;2010T3;22,69
Badajoz;2010T2;23,19
Badajoz;2010T1;23,84
Badajoz;2009T4;22,76
Badajoz;2009T3;19,32
Badajoz;2009T2;20,69
Badajoz;2009T1;22,55
Badajoz;2008T4;19,29
Badajoz;2008T3;14,98
Badajoz;2008T2;15,2
Badajoz;2008T1;13,84
Badajoz;2007T4;15,34
Badajoz;2007T3;13,69
Badajoz;2007T2;13,16
Badajoz;2007T1;13,96
Badajoz;2006T4;14,63
Badajoz;2006T3;11,5
Badajoz;2006T2;14,99
Badajoz;2006T1;17,38
Badajoz;2005T4;16,58
Badajoz;2005T3;17,05
Badajoz;2005T2;16,44
Badajoz;2005T1;19,65
Badajoz;2004T4;20,41
Badajoz;2004T3;16,25
Badajoz;2004T2;18,93
Badajoz;2004T1;16,77
Badajoz;2003T4;16,58
Badajoz;2003T3;14,54
Badajoz;2003T2;15,38
Badajoz;2003T1;18,94
Badajoz;2002T4;18,94
Badajoz;2002T3;19,61
Badajoz;2002T2;18,9
Badajoz;2002T1;20,77
Illes Balears;2024T4;8,2
Illes Balears;2024T3;6,17
Illes Balears;2024T2;7,95
Illes Balears;2024T1;15,48
Illes Balears;2023T4;11,16
Illes Balears;2023T3;5,85
Illes Balears;2023T2;7,12
Illes Balears;2023T1;17,79
Illes Balears;2022T4;10,7
Illes Balears;2022T3;5,61
Illes Balears;2022T2;9,02
Illes Balears;2022T1;17,61
Illes Balears;2021T4;14,58
Illes Balears;2021T3;10,02
Illes Balears;2021T2;14,74
Illes Balears;2021T1;18,4
Illes Balears;2020T4;17,34
Illes Balears;2020T3;13,28
Illes Balears;2020T2;15,93
Illes Balears;2020T1;18,2
Illes Balears;2019T4;9,91
Illes Balears;2019T3;8,18
Illes Balears;2019T2;12,13
Illes Balears;2019T1;17,06
Illes Balears;2018T4;10,91
Illes Balears;2018T3;7,16
Illes Balears;2018T2;11,22
Illes Balears;2018T1;17,42
Illes Balears;2017T4;12,61
Illes Balears;2017T3;9,25
Illes Balears;2017T2;11,49
Illes Balears;2017T1;16,76
Illes Balears;2016T4;13,8
Illes Balears;2016T3;10,6
Illes Balears;2016T2;13,02
Illes Balears;2016T1;18,41
Illes Balears;2015T4;17,02
Illes Balears;2015T3;13,88
Illes Balears;2015T2;16,45
Illes Balears;2015T1;22,29
Illes Balears;2014T4;18,88
Illes Balears;2014T3;15,94
Illes Balears;2014T2;19,04
Illes Balears;2014T1;26,7
Illes Balears;2013T4;22,72
Illes Balears;2013T3;16,93
Illes Balears;2013T2;21,14
Illes Balears;2013T1;28,55
Illes Balears;2012T4;24,3
Illes Balears;2012T3;19,56
Illes Balears;2012T2;21,32
Illes Balears;2012T1;27,85
Illes Balears;2011T4;25,49
Illes Balears;2011T3;17,79
Illes Balears;2011T2;19,53
Illes Balears;2011T1;24,98
Illes Balears;2010T4;21,78
Illes Balears;2010T3;16,93
Illes Balears;2010T2;19,79
Illes Balears;2010T1;22,22
Illes Balears;2009T4;19,45
Illes Balears;2009T3;14,78
Illes Balears;2009T2;18,02
Illes Balears;2009T1;19,63
Illes Balears;2008T4;12,05
Illes Balears;2008T3;9,32
Illes Balears;2008T2;8,4
Illes Balears;2008T1;10,98
Illes Balears;2007T4;9,35
Illes Balears;2007T3;4,64
Illes Balears;2007T2;5,55
Illes Balears;2007T1;9,33
Illes Balears;2006T4;6,34
Illes Balears;2006T3;4,72
Illes Balears;2006T2;6,53
Illes Balears;2006T1;8,41
Illes Balears;2005T4;7,5
Illes Balears;2005T3;4,91
Illes Balears;2005T2;6,06
Illes Balears;2005T1;10,7
Illes Balears;2004T4;8,09
Illes Balears;2004T3;6,77
Illes Balears;2004T2;9,06
Illes Balears;2004T1;12,75
Illes Balears;2003T4;10,01
Illes Balears;2003T3;7,02
Illes Balears;2003T2;9,39
Illes Balears;2003T1;12,68
Illes Balears;2002T4;8,69
Illes Balears;2002T3;6,07
Illes Balears;2002T2;6,74
Illes Balears;2002T1;8,96
Barcelona;2024T4;7,41
Barcelona;2024T3;8,78
Barcelona;2024T2;8,95
Barcelona;2024T1;8,67
Barcelona;2023T4;8,64
Barcelona;2023T3;8,39
Barcelona;2023T2;8,95
Barcelona;2023T1;10,5
Barcelona;2022T4;10,54
Barcelona;2022T3;9,39
Barcelona;2022T2;9,29
Barcelona;2022T1;10,48
Barcelona;2021T4;9,61
Barcelona;2021T3;10,89
Barcelona;2021T2;12,27
Barcelona;2021T1;12,54
Barcelona;2020T4;13,67
Barcelona;2020T3;13,39
Barcelona;2020T2;12,45
Barcelona;2020T1;10,58
Barcelona;2019T4;10,47
Barcelona;2019T3;11,27
Barcelona;2019T2;10,93
Barcelona;2019T1;10,93
Barcelona;2018T4;11,34
Barcelona;2018T3;10,55
Barcelona;2018T2;10,91
Barcelona;2018T1;11,55
Barcelona;2017T4;12,13
Barcelona;2017T3;12,56
Barcelona;2017T2;13,03
Barcelona;2017T1;14,69
Barcelona;2016T4;14,73
Barcelona;2016T3;14,54
Barcelona;2016T2;15,67
Barcelona;2016T1;17,05
Barcelona;2015T4;17,15
Barcelona;2015T3;17,24
Barcelona;2015T2;18,97
Barcelona;2015T1;19,58
Barcelona;2014T4;19,5
Barcelona;2014T3;19,11
Barcelona;2014T2;19,72
Barcelona;2014T1;21,57
Barcelona;2013T4;21,39
Barcelona;2013T3;22,98
Barcelona;2013T2;23,72
Barcelona;2013T1;24,38
Barcelona;2012T4;24,02
Barcelona;2012T3;22,99
Barcelona;2012T2;21,55
Barcelona;2012T1;21,5
Barcelona;2011T4;20,06
Barcelona;2011T3;19,56
Barcelona;2011T2;17,86
Barcelona;2011T1;18,92
Barcelona;2010T4;17,76
Barcelona;2010T3;17,72
Barcelona;2010T2;17,62
Barcelona;2010T1;17,81
Barcelona;2009T4;16,85
Barcelona;2009T3;15,97
Barcelona;2009T2;16,15
Barcelona;2009T1;15,84
Barcelona;2008T4;11,37
Barcelona;2008T3;8,54
Barcelona;2008T2;7,1
Barcelona;2008T1;7,46
Barcelona;2007T4;6,35
Barcelona;2007T3;7,09
Barcelona;2007T2;6,2
Barcelona;2007T1;6,45
Barcelona;2006T4;6,71
Barcelona;2006T3;6,29
Barcelona;2006T2;6,22
Barcelona;2006T1;6,97
Barcelona;2005T4;6,51
Barcelona;2005T3;6,03
Barcelona;2005T2;7,07
Barcelona;2005T1;7,95
Barcelona;2004T4;9,93
Barcelona;2004T3;10,35
Barcelona;2004T2;10,28
Barcelona;2004T1;10,86
Barcelona;2003T4;10,01
Barcelona;2003T3;10,81
Barcelona;2003T2;11,31
Barcelona;2003T1;11,32
Barcelona;2002T4;11,43
Barcelona;2002T3;10,76
Barcelona;2002T2;9,82
Barcelona;2002T1;11,12
Bizkaia;2024T4;10,28
Bizkaia;2024T3;8,08
Bizkaia;2024T2;8,88
Bizkaia;2024T1;8,68
Bizkaia;2023T4;6,68
Bizkaia;2023T3;8,26
Bizkaia;2023T2;7,76
Bizkaia;2023T1;9,5
Bizkaia;2022T4;9,05
Bizkaia;2022T3;9,45
Bizkaia;2022T2;9,46
Bizkaia;2022T1;9,68
Bizkaia;2021T4;10,04
Bizkaia;2021T3;10,06
Bizkaia;2021T2;11,55
Bizkaia;2021T1;12,61
Bizkaia;2020T4;11,86
Bizkaia;2020T3;11,73
Bizkaia;2020T2;10,72
Bizkaia;2020T1;10,72
Bizkaia;2019T4;10,58
Bizkaia;2019T3;10,87
Bizkaia;2019T2;9,74
Bizkaia;2019T1;11,23
Bizkaia;2018T4;11,47
Bizkaia;2018T3;10,88
Bizkaia;2018T2;11,63
Bizkaia;2018T1;12,61
Bizkaia;2017T4;12,34
Bizkaia;2017T3;13,42
Bizkaia;2017T2;12,54
Bizkaia;2017T1;12,5
Bizkaia;2016T4;13,75
Bizkaia;2016T3;14,5
Bizkaia;2016T2;13,76
Bizkaia;2016T1;14,83
Bizkaia;2015T4;14,79
Bizkaia;2015T3;14,85
Bizkaia;2015T2;16,99
Bizkaia;2015T1;17,31
Bizkaia;2014T4;18,12
Bizkaia;2014T3;15,98
Bizkaia;2014T2;16,26
Bizkaia;2014T1;18,9
Bizkaia;2013T4;17,61
Bizkaia;2013T3;17,55
Bizkaia;2013T2;17,25
Bizkaia;2013T1;18,64
Bizkaia;2012T4;17,69
Bizkaia;2012T3;18,2
Bizkaia;2012T2;16,44
Bizkaia;2012T1;15,23
Bizkaia;2011T4;15
Bizkaia;2011T3;14,13
Bizkaia;2011T2;13,9
Bizkaia;2011T1;13,6
